,Name,Popularity,Latitude,Longitude
0,Imperii,0.9680596081700709,51.342156,12.379844
1,VICTOR’S Restaurant,0.8637453105460609,51.343612,12.383827
2,Campus Suite,0.5806586077532305,51.344414,12.382132
3,Falafel Ali,0.18023134639433097,51.344787,12.382353
4,Bagel Brothers,0.9829616506877866,51.342987,12.378552
5,Asiahung,0.9914547728220092,51.345062,12.381161
6,Masala - Indian Food,0.9824927052938724,51.344906,12.381124
7,"Pizza Hut Leipzig, HBF",0.9936952897040433,51.344384,12.380967
8,KFC,0.37656315131304713,51.343999,12.371813
9,Planerts,0.5660691954981242,51.341762,12.37932
10,Ciao Bella,0.3496248436848687,51.344932,12.381314
11,Burger King,0.9873905794080867,51.344391,12.381068
12,Takumi Leipzig,0.9608691121300542,51.343661,12.385154
13,frischBack,0.637974155898291,51.344391,12.381068
14,Frittenwerk,0.9930179241350563,51.344673,12.380566
15,Frittz,0.9239266360983743,51.34506,12.3804
16,Andria Ristorante,0.971811171321384,51.341746,12.378357
17,McDonald's,0.9970821175489787,51.344391,12.381068
18,ROCKET’S Burger,0.9897353063776574,51.345228,12.379877
19,Peperoni,0.9022509378907878,51.343362,12.386845
20,H & V Asia Imbiss Döner,0.1541788245102126,51.343376,12.387047
21,KFC,0.9882763651521467,51.345174,12.379831
22,Yasumi,0.03167986661108795,51.343027,12.373269
23,Goldene Kugel,0.8639537307211338,51.34377,12.377315
24,Indian Crown,0.9572217590662776,51.34273,12.376341
25,Sardinia,0.9065235514797833,51.340003,12.378308
26,Vietnam Bistro,0.023238849520633598,51.341717,12.380137
27,Gourmet-Restaurant FALCO,0.8456127553147145,51.345045,12.377253
28,Indian Palace,0.9719674864526886,51.341292,12.378448
29,ALEX Leipzig,0.9937473947478116,51.340694,12.37576
30,Peter Pane,0.9790537724051688,51.341792,12.375358
31,Pho Viet,0.9460712796998749,51.342239,12.375166
32,Niiko Sushi x Vegan,0.5550750312630263,51.342547,12.378244
33,Romanushof,0.004533138807836599,51.342773,12.374764
34,Mumbai,0.8416527719883284,51.341393,12.378439
35,Subway,0.6864839516465194,51.343067,12.373113
36,McDonald's,0.9894747811588162,51.343067,12.373113
37,HANS IM GLÜCK - LEIPZIG Augustusplatz,0.9801479783243018,51.338583,12.379957
38,Bohemian Kids Cafe,0.9803042934556065,51.337749,12.377543
39,Haiky,0.9750416840350146,51.343027,12.373269
40,Sushi Circle,0.9330450187578158,51.341655,12.374863
41,Valentino,0.9572738641100459,51.343181,12.372545
42,Indian Curry House,0.9317944977073781,51.341481,12.378228
43,Toskana Leipzig,0.29580033347228013,51.341609,12.377862
44,India Gate,0.6701750729470612,51.341027,12.378319
45,Curry & Co,0.8541058774489371,51.342979,12.373324
46,Central,0.9690496040016674,51.340057,12.376852
47,Burgermeister der Grill,0.3839620675281367,51.343407,12.375774
48,Dean & David,0.9913505627344728,51.343067,12.373113
49,Sole Mio,0.03365985827428095,51.343319,12.375985
