,Name,Rating,Latitude,Longitude
0,Imperii,5.0,51.3422221156623,12.3795628986725
1,Auerbachs Keller,4.0,51.3396305634424,12.3754316098785
2,Restaurant Steaktrain,4.0,51.343344,12.3784542
3,Augustiner am Markt,4.5,51.341247,12.374682
4,KIRIGAMI Ramen,4.5,51.34346,12.39024
5,Ratskeller Leipzig,4.0,51.3368454,12.3726747
6,Handbrotzeit,4.5,51.34133,12.37828
7,Romanushof,4.0,51.3428473,12.3749424
8,Kildare City Pub,4.5,51.3409,12.3743
9,Wurstmeister,3.5,51.3439822661999,12.3773687174798
10,Yaki Gourmet,3.5,51.34342,12.382782
11,Rizzi,4.0,51.3411789,12.3753796
12,Reinhardts im Gasthaus Alte Nikolaischule,4.5,51.3407399,12.37833
13,Pentahotel Restaurant,4.5,51.3411,12.3866
14,Chinas Welt,4.0,51.34586,12.38964
15,Mythos,5.0,51.34637,12.37418
16,Restaurant Brühl,4.5,51.348,12.3762
17,Soup & Nem,4.0,51.3417,12.378
18,Falco,4.5,51.34689,12.376
19,Phô Viêt,4.0,51.3422399,12.37485
20,Masala,3.5,51.34399,12.38193
21,Pizzeria by Toni,5.0,51.3432,12.3786
22,Opern Cafe,5.0,51.34,12.3807
23,Miss Hanoi,4.5,51.3379,12.3851
24,Hans im Glück,4.0,51.3385015820573,12.379896
25,Aurelia,4.5,51.3479019473153,12.3714617575977
26,Max Enk,5.0,51.33824,12.37715
27,Café Madrid,4.0,51.3402002581908,12.3729103334045
28,Valentino,4.0,51.343545,12.372761
29,Dhillons,3.5,51.34192,12.37723
30,Morrison's Traditional Irish Pub,4.0,51.34178,12.37978
31,Brasserie Le Grand,4.5,51.3404,12.3759
32,Iberica Weindepot & Tappas,5.0,51.3408730780886,12.3792969090227
33,Burgermeister,4.0,51.34337,12.37681
34,Indian Crown,4.5,51.34205,12.3764299
35,Andria,3.5,51.34178,12.37826
36,Telegraph Café Restaurant,4.0,51.34118,12.37171
37,Thai-chi-viet,3.5,51.3454,12.3819
38,Indian Fingerfoods,5.0,51.3414383,12.3779802
39,Planerts,4.0,51.3412883339154,12.3793966839507
40,Mekong Asiasupermarkt,5.0,51.3419942553037,12.3797540593495
41,Zunftkeller,3.5,51.339,12.39179
42,Pentahotel Leipzig,4.5,51.3408012,12.3868904
43,Fatih Servet,3.0,51.3448,12.3809
44,Dunkelrestaurant Mondschein,4.5,51.3453,12.3714
45,asia hung,4.0,51.3445,12.3801
46,Il Corso,4.5,51.3378666,12.3731729
47,Gourmetrestaurant Villers,5.0,51.3445993712519,12.3722460659353
48,kalimera,2.5,51.3435,12.387
49,Milchbar Pinguin,4.0,51.341564095845,12.375283241272
